time, x, y, heading, vel_x, vel_y, vel_heading,
1.856, 0.126062, 0.0023329, 0.0146813, 0.0718064, 0.00134773, -0.00469606, 
1.864, 0.126625, 0.0023412, 0.0146656, 0.0703388, 0.00103712, -0.00195872, 
1.872, 0.127187, 0.00234947, 0.0146499, 0.0703321, 0.00103403, -0.00195873, 
1.88, 0.12775, 0.00235785, 0.0146339, 0.0703309, 0.0010473, -0.0019992, 
1.888, 0.128313, 0.00236643, 0.0146175, 0.0703305, 0.00107213, -0.00205666, 
1.896, 0.128877, 0.00237665, 0.0145639, 0.0705735, 0.0012773, -0.00669903, 
1.904, 0.129442, 0.00238803, 0.0145099, 0.0705746, 0.00142294, -0.00675078, 
1.912, 0.130006, 0.00240085, 0.0144556, 0.070575, 0.0016022, -0.00678089, 
1.92, 0.130571, 0.00241472, 0.0144012, 0.0705752, 0.00173358, -0.00680597, 
1.928, 0.131133, 0.00243045, 0.014331, 0.0703061, 0.00196647, -0.00877391, 
1.936, 0.131696, 0.00244645, 0.0142606, 0.070305, 0.00199971, -0.00879924, 
1.944, 0.132258, 0.00246245, 0.0141901, 0.070305, 0.00200098, -0.00881171, 
1.952, 0.132821, 0.00247846, 0.0141195, 0.070305, 0.00200029, -0.00882126, 
1.96, 0.133493, 0.00250378, 0.0146748, 0.0839942, 0.0031655, 0.0694125, 
1.968, 0.134166, 0.00254887, 0.0152365, 0.0841121, 0.00563568, 0.0702074, 
1.976, 0.134839, 0.00259818, 0.0157999, 0.0841266, 0.00616432, 0.0704288, 
1.984, 0.135512, 0.00264728, 0.0163645, 0.0841364, 0.0061377, 0.0705673, 
1.992, 0.136086, 0.00265962, 0.0163149, 0.0717698, 0.00154179, -0.00619508, 
2, 0.13666, 0.00267269, 0.0162627, 0.0717163, 0.00163395, -0.00652283, 
2.008, 0.137233, 0.00268619, 0.0162093, 0.0717059, 0.00168725, -0.00667631, 
2.016, 0.137807, 0.00270006, 0.0161548, 0.0717021, 0.00173386, -0.00680968, 
2.024, 0.138374, 0.00270927, 0.0161436, 0.0708958, 0.00115134, -0.00140213, 
2.032, 0.138941, 0.00271845, 0.0161324, 0.0708923, 0.00114738, -0.00140293, 
2.04, 0.139508, 0.00272761, 0.0161211, 0.0708918, 0.00114573, -0.00140756, 
2.048, 0.140075, 0.00273677, 0.0161099, 0.0708919, 0.00114442, -0.00140917, 
2.056, 0.140513, 0.00276061, 0.0156452, 0.0547172, 0.0029799, -0.0580854, 
2.064, 0.14095, 0.00281136, 0.0151762, 0.054598, 0.00634446, -0.0586173, 
2.072, 0.141387, 0.00287043, 0.0147063, 0.0545857, 0.00738307, -0.058745, 
2.08, 0.141823, 0.00293262, 0.0142359, 0.0545823, 0.00777374, -0.0587975, 
2.088, 0.142364, 0.00294489, 0.0143085, 0.067528, 0.00153352, 0.00907374, 
2.096, 0.142904, 0.00295826, 0.0143861, 0.0675843, 0.0016717, 0.00969574, 
2.104, 0.143445, 0.00297248, 0.0144655, 0.0675955, 0.00177714, 0.00992353, 
