time, light, accx, accy, accz,
6.4, 2.11977, 0.0520922, 0.00359974, 9.83263, 
6.432, 2.14877, -0.00111104, -0.0943277, 9.80921, 
6.464, 2.1499, -0.00843859, -0.109904, 9.87096, 
6.496, 2.15405, -0.0196222, 0.0419634, 9.82403, 
6.528, 2.15925, -0.0808794, 0.0969622, 9.77506, 
6.56, 2.1671, 0.082733, 0.0474507, 9.82787, 
6.592, 2.16419, 0.0188326, 0.00647668, 9.81045, 
6.624, 2.15277, -0.00141144, 0.0837758, 9.79935, 
6.656, 2.17686, -0.0369297, 0.106651, 9.7339, 
6.688, 2.17844, 0.0650097, -0.0328002, 9.78002, 
6.72, 2.18474, -0.0265534, -0.0782791, 9.83341, 
6.752, 2.18553, 0.0110631, 0.0359764, 9.87859, 
6.784, 2.17062, 0.0356993, -0.00135715, 9.75202, 
6.816, 2.17949, 0.0363175, 0.0478614, 9.93592, 
6.848, 2.16748, 0.0349342, -0.02285, 9.88896, 
6.88, 2.17877, 0.0387003, -0.0602321, 9.79754, 
6.912, 2.16664, -0.0491444, -0.00605959, 9.78211, 
6.944, 2.18032, -0.0446523, -0.00819155, 9.79978, 
6.976, 2.17468, -0.0359276, 0.00664202, 9.77817, 
7.008, 2.16754, -0.0213052, 0.0174649, 9.82816, 
7.04, 2.17518, 0.00401668, -0.0211376, 9.73952, 
7.072, 2.1669, 0.0312011, 0.0603558, 9.83716, 
7.104, 2.1803, -0.0800664, 0.00319988, 9.89025, 
7.136, 2.17683, -0.00906752, 0.040487, 9.83603, 
7.168, 2.19075, 0.0623465, 0.0286482, 9.88363, 
7.2, 2.19592, -0.0149419, 0.0306303, 9.82304, 
7.232, 2.19588, -0.0160714, -0.0212079, 9.84621, 
7.264, 2.16548, 0.0543916, 0.0208202, 9.92307, 
7.296, 2.18338, 0.0222265, -0.0596837, 9.87926, 
7.328, 2.17069, -0.00468627, 0.0298083, 9.82653, 
7.36, 2.17723, -0.0211005, 0.0686328, 9.80005, 
7.392, 2.19233, 0.0287191, -0.0271475, 9.82071, 
7.424, 2.18236, -0.115832, -0.0907933, 9.84488, 
7.456, 2.16514, 0.0347722, -0.0296613, 9.76824, 
7.488, 2.16422, 0.0355063, -0.0276706, 9.90462, 
7.52, 2.16887, -0.0697314, -0.122173, 9.84488, 
7.552, 2.17071, -0.0122093, 0.00787899, 9.82621, 
7.584, 2.19925, 0.00449933, 0.041006, 9.7618, 
7.616, 2.18298, -0.035963, 0.11815, 9.73452, 
7.648, 2.19739, -0.0870868, 0.028439, 9.81934, 
7.68, 2.19938, 0.0611812, 0.0108366, 9.86853, 
7.712, 2.20166, 0.046344, -0.040355, 9.75954, 
7.744, 2.17368, 0.0140679, 0.0144413, 9.82279, 
7.776, 2.19298, 0.00434393, -0.010994, 9.80658, 
7.808, 2.18822, -0.0427496, -0.0459447, 9.89347, 
7.84, 2.19164, -0.079227, 0.0118707, 9.80667, 
7.872, 2.17209, -0.0270291, 0.0927122, 9.82408, 
7.904, 2.20808, 0.0360889, -0.0452633, 9.77042, 
7.936, 2.21055, 0.0545794, -0.00644617, 9.76122, 
7.968, 2.18639, -0.0100554, -0.086265, 9.82598, 
8, 2.18415, -0.0340958, -0.0435859, 9.85746, 
8.032, 2.17896, 0.053838, -0.0940798, 9.85032, 
8.064, 2.19475, -0.0612585, -0.0203161, 9.85934, 
8.096, 2.21299, 0.0170792, -0.0200817, 9.82643, 
8.128, 2.18965, 0.0306835, -0.00694694, 9.8364, 
8.16, 2.2045, -0.00350564, -0.0293738, 9.81556, 
8.192, 2.17838, 0.0745525, 0.0874064, 9.80023, 
8.224, 2.19315, -0.0684727, -0.0643206, 9.86564, 
8.256, 2.1928, -0.0380418, 0.0203575, 9.7321, 
8.288, 2.17897, -0.0623097, -0.0256018, 9.75556, 
8.32, 2.18789, 0.0121529, -0.0496548, 9.74356, 
8.352, 2.21785, -0.0398815, 0.0273799, 9.78539, 
8.384, 2.20822, 0.00607323, -0.114767, 9.79698, 
8.416, 2.19993, 0.0268674, -0.0377197, 9.79655, 
8.448, 2.21027, -0.0403481, 0.031975, 9.81751, 
8.48, 2.22025, -0.0833423, 0.00624517, 9.79894, 
8.512, 2.20819, -0.0594099, -0.0438536, 9.81297, 
8.544, 2.20625, 0.0364469, 0.042881, 9.74662, 
8.576, 2.20186, -0.0257349, -0.0430423, 9.81118, 
8.608, 2.19984, 0.0441381, -0.0254109, 9.84597, 
8.64, 2.21568, -0.0403731, 0.0122135, 9.8521, 
8.672, 2.18825, 0.0371116, 0.00117177, 9.75226, 
8.704, 2.18687, 0.0681915, -0.0583956, 9.87052, 
8.736, 2.20951, 0.00089812, 0.0298544, 9.78416, 
8.768, 2.20793, -0.00890887, -0.0854619, 9.84645, 
8.8, 2.18887, 0.0827944, -0.0314717, 9.71447, 
8.832, 2.20031, 0.068207, -0.0291705, 9.84029, 
8.864, 2.21755, 0.000860986, 0.0133206, 9.84594, 
8.896, 2.20794, -0.0297606, 0.142777, 9.76362, 
8.928, 2.19456, 0.0748467, 0.00853538, 9.77743, 
8.96, 2.19292, -0.0242536, 0.0395021, 9.79863, 
